Date, Apartment Complex Name, Unit, Price
10/1/2019,Country Brook,A4,$1191 -to $1406
10/1/2019,Country Brook,B1,$1272 -to $1834
10/1/2019,Country Brook,B2,$1317 -to $1801
10/1/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,135 "
10/1/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
10/1/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/1/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,295 "
10/1/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/1/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,415 "
10/1/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,425 "
10/1/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,510 "
10/1/2019,The Ventura,A1beds1baths1sq.ft798,$1160-$1175
10/1/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,340 "
10/2/2019,San Brisas,A2,$1275 -to $1325
10/2/2019,Country Brook,A1,$1058 -to $1365
10/2/2019,Country Brook,A2,$1025 -to $1351
10/2/2019,Country Brook,A3,$1083 -to $1329
10/2/2019,Country Brook,A4,$1188 -to $1400
10/2/2019,Country Brook,B1,$1319 -to $1894
10/2/2019,Country Brook,B2,$1364 -to $1862
10/2/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,130 "
10/2/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
10/2/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/2/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,295 "
10/2/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/2/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,415 "
10/2/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,420 "
10/2/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,505 "
10/2/2019,The Ventura,A1beds1baths1sq.ft798,"$1,175 "
10/2/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,340 "
10/7/2019,San Brisas,A2,"$1,325 "
10/7/2019,Country Brook,A1,$1031 -to $1370
10/7/2019,Country Brook,A2,$997 -to $1357
10/7/2019,Country Brook,A3,$1072 -to $1334
10/7/2019,Country Brook,A4,$1177 -to $1430
10/7/2019,Country Brook,B1,$1371 -to $1899
10/7/2019,Country Brook,B2,$1416 -to $1868
10/7/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,130 "
